date,ticker,flow_usd
2026-04-07,BTCO,0.0
2026-04-07,EZBC,0.0
2026-04-07,BTCW,0.0
2026-04-08,FBTC,-79100000.0
2026-04-08,ARKB,-74700000.0
2026-04-08,IBIT,40400000.0
2026-04-08,MSBT,30600000.0
2026-04-08,GBTC,-11100000.0
2026-04-08,BITB,0.0
2026-04-08,BTCO,0.0
2026-04-08,EZBC,0.0
2026-04-08,BRRR,0.0
2026-04-08,HODL,0.0
2026-04-08,BTCW,0.0
2026-04-09,IBIT,269300000.0
2026-04-09,FBTC,53300000.0
2026-04-09,MSBT,14900000.0
2026-04-09,BITB,11700000.0
2026-04-09,ARKB,4800000.0
2026-04-09,EZBC,2100000.0
2026-04-09,HODL,2000000.0
2026-04-09,BTCO,0.0
2026-04-09,BRRR,0.0
2026-04-09,BTCW,0.0
2026-04-09,GBTC,0.0
2026-04-10,IBIT,137600000.0
2026-04-10,FBTC,78000000.0
2026-04-10,MSBT,16300000.0
2026-04-10,BITB,9500000.0
2026-04-10,ARKB,3600000.0
2026-04-10,HODL,2600000.0
2026-04-10,BTCO,0.0
2026-04-10,EZBC,0.0
2026-04-10,BRRR,0.0
2026-04-10,BTCW,0.0
2026-04-10,GBTC,0.0
2026-04-13,FBTC,-229200000.0
2026-04-13,ARKB,-62900000.0
2026-04-13,GBTC,-38200000.0
2026-04-13,IBIT,34700000.0
2026-04-13,BITB,11900000.0
2026-04-13,MSBT,6300000.0
2026-04-13,HODL,-2600000.0
2026-04-13,BTCO,0.0
2026-04-13,EZBC,0.0
2026-04-13,BRRR,0.0
2026-04-13,BTCW,0.0
2026-04-14,IBIT,213800000.0
2026-04-14,ARKB,113100000.0
2026-04-14,FBTC,45300000.0
2026-04-14,MSBT,15500000.0
2026-04-14,BITB,12500000.0
2026-04-14,HODL,6300000.0
2026-04-14,BTCO,0.0
2026-04-14,EZBC,0.0
2026-04-14,BRRR,0.0
2026-04-14,BTCW,0.0
2026-04-14,GBTC,0.0
2026-04-15,IBIT,291900000.0
2026-04-15,FBTC,-47300000.0
2026-04-15,ARKB,-42200000.0
2026-04-15,GBTC,-23400000.0
2026-04-15,MSBT,19300000.0
2026-04-15,BITB,-8500000.0
2026-04-15,HODL,-3700000.0
2026-04-15,BTCO,0.0
2026-04-15,EZBC,0.0
2026-04-15,BRRR,0.0
2026-04-15,BTCW,0.0
2026-04-16,IBIT,81700000.0
2026-04-16,FBTC,-36000000.0
2026-04-16,ARKB,-27400000.0
2026-04-16,GBTC,-22300000.0
2026-04-16,MSBT,13400000.0
2026-04-16,BITB,0.0
2026-04-16,BTCO,0.0
2026-04-16,EZBC,0.0
2026-04-16,BRRR,0.0
2026-04-16,HODL,0.0
2026-04-16,BTCW,0.0
2026-04-17,IBIT,284000000.0
2026-04-17,FBTC,163400000.0
2026-04-17,ARKB,117900000.0
2026-04-17,BITB,38200000.0
2026-04-17,MSBT,16600000.000000002
2026-04-17,HODL,6600000.0
2026-04-17,GBTC,4200000.0
2026-04-17,BTCO,3900000.0
2026-04-17,EZBC,0.0
2026-04-17,BRRR,0.0
2026-04-17,BTCW,0.0
2026-04-20,IBIT,256000000.0
2026-04-20,GBTC,-24900000.0
2026-04-20,MSBT,8100000.0
2026-04-20,FBTC,-6600000.0
2026-04-20,BRRR,5800000.0
2026-04-20,BITB,0.0
2026-04-20,ARKB,0.0
2026-04-20,BTCO,0.0
2026-04-20,EZBC,0.0
2026-04-20,HODL,0.0
2026-04-20,BTCW,0.0
2026-04-21,IBIT,39300000.0
